2016 National Popular Vote Tracker : Overall Vote%s,,,,,,,,,,,,,
,A,B,C,D,E,F,G,H,I,J,K,L,M
32,Delaware*,235603,185127,20860,53.4%,41.9%,4.7%,18.6%,11.4%,-7.2%,413890,441590,6.7%
33,District of Columbia*,282830,12723,15715,90.9%,4.1%,5.0%,83.6%,86.8%,3.1%,293764,311268,6.0%
34,Georgia*,1877963,2089104,125306,45.9%,51.0%,3.1%,-7.8%,-5.2%,2.7%,3900050,4092373,4.9%
35,Hawaii*,266891,128847,33199,62.2%,30.0%,7.7%,42.7%,32.2%,-10.5%,434697,428937,-1.3%
36,Idaho*,189765,409055,91435,27.5%,59.3%,13.2%,-31.9%,-31.8%,0.1%,652274,690255,5.8%
37,Illinois*,3090729,2146015,299680,55.8%,38.8%,5.4%,16.9%,17.1%,0.2%,5242014,5536424,5.6%
38,Indiana*,1033126,1557286,144546,37.8%,56.9%,5.3%,-10.2%,-19.2%,-9.0%,2624534,2734958,4.2%
39,Kansas*,427005,671018,86379,36.1%,56.7%,7.3%,-21.7%,-20.6%,1.1%,1159971,1184402,2.1%
40,Kentucky*,628854,1202971,92324,32.7%,62.5%,4.8%,-22.7%,-29.8%,-7.1%,1797212,1924149,7.1%
41,Louisiana*,780154,1178638,70240,38.4%,58.1%,3.5%,-17.2%,-19.6%,-2.4%,1994065,2029032,1.8%
42,Maryland*,1677928,943169,160349,60.3%,33.9%,5.8%,26.1%,26.4%,0.3%,2707327,2781446,2.7%
43,Massachusetts*,1995196,1090893,238957,60.0%,32.8%,7.2%,23.1%,27.2%,4.1%,3167767,3325046,5.0%
44,Mississippi*,485131,700714,23512,40.1%,57.9%,1.9%,-11.5%,-17.8%,-6.3%,1285584,1209357,-5.9%
45,Missouri*,1071068,1594511,143026,38.1%,56.8%,5.1%,-9.4%,-18.6%,-9.3%,2757323,2808605,1.9%
46,Montana*,177709,279240,40198,35.7%,56.2%,8.1%,-13.7%,-20.4%,-6.8%,484048,497147,2.7%
47,Nebraska*,284494,495961,63772,33.7%,58.7%,7.6%,-21.8%,-25.0%,-3.3%,794379,844227,6.3%
48,New Jersey*,2148278,1601933,123835,55.5%,41.4%,3.2%,17.8%,14.1%,-3.7%,3640292,3874046,6.4%
49,New Mexico*,385234,319666,93418,48.3%,40.0%,11.7%,10.1%,8.2%,-1.9%,783758,798318,1.9%
50,New York*,4556124,2819534,345795,59.0%,36.5%,4.5%,28.2%,22.5%,-5.7%,7072083,7721453,9.2%
51,North Dakota*,93758,216794,33808,27.2%,63.0%,9.8%,-19.6%,-35.7%,-16.1%,322932,344360,6.6%
52,Oklahoma*,420375,949136,83481,28.9%,65.3%,5.7%,-33.5%,-36.4%,-2.8%,1334872,1452992,8.8%
53,Oregon*,1002106,782403,216827,50.1%,39.1%,10.8%,12.1%,11.0%,-1.1%,1789270,2001336,11.9%
54,Rhode Island*,252525,180543,31076,54.4%,38.9%,6.7%,27.5%,15.5%,-11.9%,446049,464144,4.1%
55,South Carolina*,855373,1155389,92265,40.7%,54.9%,4.4%,-10.5%,-14.3%,-3.8%,1964118,2103027,7.1%
56,South Dakota*,117458,227721,24914,31.7%,61.5%,6.7%,-18.0%,-29.8%,-11.8%,363815,370093,1.7%
57,Tennessee*,870695,1522925,114407,34.7%,60.7%,4.6%,-20.4%,-26.0%,-5.6%,2458577,2508027,2.0%
58,Texas*,3877868,4685047,406311,43.2%,52.2%,4.5%,-15.8%,-9.0%,6.8%,7993851,8969226,12.2%
59,Utah*,310676,515231,305523,27.5%,45.5%,27.0%,-48.0%,-18.1%,30.0%,1017440,1131430,11.2%
60,Vermont*,178573,95369,41125,56.7%,30.3%,13.1%,35.6%,26.4%,-9.2%,299290,315067,5.3%
61,Virginia*,1981473,1769443,231836,49.8%,44.4%,5.8%,3.9%,5.3%,1.5%,3854489,3982752,3.3%
62,Washington*,1742718,1221747,401179,51.8%,36.3%,11.9%,14.9%,15.5%,0.6%,3125516,3365644,7.7%
63,West Virginia*,188794,489371,34886,26.5%,68.6%,4.9%,-26.8%,-42.2%,-15.4%,670438,713051,6.4%
64,Wyoming*,55973,174419,25457,21.9%,68.2%,10.0%,-40.8%,-46.3%,-5.5%,249061,255849,2.7%
